 &SRS
 SRSRUN=31,SRSDAT=201695,SRSTIM=103821,
 SRSSTN='null',SRSPRJ='null    ',SRSEXP='null    ',
 SRSTLE='                                                            ',
 SRSCN1='        ',SRSCN2='        ',SRSCN3='        ',
 &END
Angle (Degrees)	Position (Steps)	picamera
155.0390625	1764	31/000156.jpg
156.005859375	1775	31/000157.jpg
156.97265625	1786	31/000158.jpg
158.02734375	1798	31/000159.jpg
158.994140625	1809	31/000160.jpg
159.9609375	1820	31/000161.jpg
161.015625	1832	31/000162.jpg
161.982421875	1843	31/000163.jpg
163.037109375	1855	31/000164.jpg
164.00390625	1866	31/000165.jpg
164.970703125	1877	31/000166.jpg
166.025390625	1889	31/000167.jpg
166.9921875	1900	31/000168.jpg
167.958984375	1911	31/000169.jpg
169.013671875	1923	31/000170.jpg
169.98046875	1934	31/000171.jpg
171.03515625	1946	31/000172.jpg
172.001953125	1957	31/000173.jpg
172.96875	1968	31/000174.jpg
174.0234375	1980	31/000175.jpg
174.990234375	1991	31/000176.jpg
175.95703125	2002	31/000177.jpg
177.01171875	2014	31/000178.jpg
177.978515625	2025	31/000179.jpg
179.033203125	2037	31/000180.jpg
180.0	2048	31/000181.jpg
180.966796875	2059	31/000182.jpg
182.021484375	2071	31/000183.jpg
182.98828125	2082	31/000184.jpg
184.04296875	2094	31/000185.jpg
185.009765625	2105	31/000186.jpg
185.9765625	2116	31/000187.jpg
187.03125	2128	31/000188.jpg
187.998046875	2139	31/000189.jpg
188.96484375	2150	31/000190.jpg
190.01953125	2162	31/000191.jpg
190.986328125	2173	31/000192.jpg
192.041015625	2185	31/000193.jpg
193.0078125	2196	31/000194.jpg
193.974609375	2207	31/000195.jpg
195.029296875	2219	31/000196.jpg
195.99609375	2230	31/000197.jpg
196.962890625	2241	31/000198.jpg
198.017578125	2253	31/000199.jpg
198.984375	2264	31/000200.jpg
200.0390625	2276	31/000201.jpg
201.005859375	2287	31/000202.jpg
201.97265625	2298	31/000203.jpg
203.02734375	2310	31/000204.jpg
203.994140625	2321	31/000205.jpg
204.9609375	2332	31/000206.jpg
206.015625	2344	31/000207.jpg
206.982421875	2355	31/000208.jpg
208.037109375	2367	31/000209.jpg
209.00390625	2378	31/000210.jpg
209.970703125	2389	31/000211.jpg
211.025390625	2401	31/000212.jpg
211.9921875	2412	31/000213.jpg
212.958984375	2423	31/000214.jpg
214.013671875	2435	31/000215.jpg
214.98046875	2446	31/000216.jpg
216.03515625	2458	31/000217.jpg
217.001953125	2469	31/000218.jpg
217.96875	2480	31/000219.jpg
219.0234375	2492	31/000220.jpg
219.990234375	2503	31/000221.jpg
220.95703125	2514	31/000222.jpg
222.01171875	2526	31/000223.jpg
222.978515625	2537	31/000224.jpg
224.033203125	2549	31/000225.jpg
225.0	2560	31/000226.jpg
225.966796875	2571	31/000227.jpg
227.021484375	2583	31/000228.jpg
227.98828125	2594	31/000229.jpg
229.04296875	2606	31/000230.jpg
230.009765625	2617	31/000231.jpg
230.9765625	2628	31/000232.jpg
232.03125	2640	31/000233.jpg
232.998046875	2651	31/000234.jpg
233.96484375	2662	31/000235.jpg
235.01953125	2674	31/000236.jpg
235.986328125	2685	31/000237.jpg
237.041015625	2697	31/000238.jpg
238.0078125	2708	31/000239.jpg
238.974609375	2719	31/000240.jpg
240.029296875	2731	31/000241.jpg
240.99609375	2742	31/000242.jpg
241.962890625	2753	31/000243.jpg
243.017578125	2765	31/000244.jpg
243.984375	2776	31/000245.jpg
245.0390625	2788	31/000246.jpg
246.005859375	2799	31/000247.jpg
246.97265625	2810	31/000248.jpg
248.02734375	2822	31/000249.jpg
248.994140625	2833	31/000250.jpg
249.9609375	2844	31/000251.jpg
251.015625	2856	31/000252.jpg
251.982421875	2867	31/000253.jpg
253.037109375	2879	31/000254.jpg
254.00390625	2890	31/000255.jpg
254.970703125	2901	31/000256.jpg
